id,recipe_id,price,date
0,67,52.3,2018-10-13 11:34:00
1,42,58.02,2018-10-13 11:38:00
2,7,56.02,2018-10-13 12:07:00
3,58,88.04,2018-10-13 12:46:00
4,5,89.7,2018-10-13 12:58:00
5,14,67.42,2018-10-13 13:07:00
6,5,89.7,2018-10-13 13:29:00
7,34,73.8,2018-10-13 13:50:00
8,45,72.88,2018-10-13 14:39:00
9,65,92.02,2018-10-13 14:52:00
10,2,77.1,2018-10-13 15:02:00
11,27,64.3,2018-10-13 15:08:00
12,2,77.1,2018-10-13 15:30:00
13,41,84.9,2018-10-13 15:41:00
14,34,55.35,2018-10-13 15:42:00
15,20,82.24,2018-10-13 15:56:00
16,16,84.6,2018-10-13 15:58:00
17,64,95.72,2018-10-13 16:14:00
18,41,84.9,2018-10-13 16:21:00
19,62,37.8,2018-10-13 16:32:00
20,41,84.9,2018-10-13 16:51:00
21,46,77.5,2018-10-13 17:01:00
22,53,76.16,2018-10-13 17:04:00
23,37,80.86,2018-10-13 17:19:00
24,14,67.42,2018-10-13 17:20:00
25,60,82.36,2018-10-13 17:42:00
26,14,67.42,2018-10-13 17:43:00
27,16,84.6,2018-10-13 17:50:00
28,39,60.08,2018-10-13 17:53:00
29,13,46.8,2018-10-13 18:06:00
30,8,61.065,2018-10-13 18:15:00
31,4,65.46,2018-10-13 18:19:00
32,29,67.14,2018-10-13 18:20:00
33,19,91.2,2018-10-13 18:24:00
34,48,62.4,2018-10-13 18:40:00
35,42,58.02,2018-10-13 18:45:00
36,18,54.12,2018-10-13 19:59:00
37,9,56.26,2018-10-13 20:27:00
38,58,88.04,2018-10-14 10:28:00
39,48,62.4,2018-10-14 12:40:00
40,15,69.06,2018-10-14 13:01:00
41,32,68.98,2018-10-14 13:09:00
42,11,63.2,2018-10-14 13:13:00
43,8,81.42,2018-10-14 13:42:00
44,60,82.36,2018-10-14 14:00:00
45,27,64.3,2018-10-14 14:29:00
46,42,58.02,2018-10-14 14:52:00
47,34,55.35,2018-10-14 15:00:00
48,23,34.72499999999999,2018-10-14 15:06:00
49,5,89.7,2018-10-14 15:23:00
50,57,79.08,2018-10-14 15:33:00
51,6,62.94,2018-10-14 15:39:00
52,24,90.3,2018-10-14 15:54:00
53,21,71.2,2018-10-14 16:06:00
54,41,84.9,2018-10-14 16:17:00
55,28,51.72,2018-10-14 16:18:00
56,46,77.5,2018-10-14 16:20:00
57,66,48.64,2018-10-14 16:22:00
58,48,62.4,2018-10-14 16:38:00
59,49,49.04,2018-10-14 16:43:00
60,52,75.52,2018-10-14 16:43:00
61,45,72.88,2018-10-14 17:02:00
62,46,58.125,2018-10-14 17:27:00
63,41,84.9,2018-10-14 17:28:00
64,60,82.36,2018-10-14 17:58:00
65,27,48.225,2018-10-14 18:24:00
66,40,47.56,2018-10-14 18:53:00
67,58,88.04,2018-10-14 19:09:00
68,10,33.78,2018-10-14 19:59:00
69,6,62.94,2018-10-14 20:19:00
70,48,62.4,2018-10-15 10:50:00
71,42,58.02,2018-10-15 11:23:00
72,16,84.6,2018-10-15 11:23:00
73,16,84.6,2018-10-15 11:25:00
74,30,84.36,2018-10-15 12:10:00
75,52,56.64,2018-10-15 12:42:00
76,60,82.36,2018-10-15 12:59:00
77,46,77.5,2018-10-15 13:23:00
78,37,80.86,2018-10-15 13:23:00
79,66,48.64,2018-10-15 13:33:00
80,45,72.88,2018-10-15 13:50:00
81,2,77.1,2018-10-15 13:53:00
82,53,76.16,2018-10-15 13:57:00
83,27,64.3,2018-10-15 14:23:00
84,9,56.26,2018-10-15 14:25:00
85,30,84.36,2018-10-15 14:42:00
86,23,46.3,2018-10-15 15:28:00
87,59,76.18,2018-10-15 15:48:00
88,35,88.64,2018-10-15 16:11:00
89,10,45.04,2018-10-15 16:12:00
90,26,57.4,2018-10-15 16:13:00
91,42,58.02,2018-10-15 17:24:00
92,3,46.52,2018-10-15 17:27:00
93,27,64.3,2018-10-15 18:17:00
94,48,62.4,2018-10-15 18:19:00
95,52,75.52,2018-10-15 18:34:00
96,20,82.24,2018-10-15 18:37:00
97,59,76.18,2018-10-15 20:31:00
98,53,76.16,2018-10-16 09:33:00
99,26,57.4,2018-10-16 11:35:00
100,4,49.095,2018-10-16 11:36:00
101,27,64.3,2018-10-16 11:48:00
102,35,88.64,2018-10-16 12:50:00
103,10,45.04,2018-10-16 12:53:00
104,33,76.96,2018-10-16 13:08:00
105,48,62.4,2018-10-16 13:14:00
106,65,92.02,2018-10-16 13:32:00
107,48,46.8,2018-10-16 13:53:00
108,11,47.40000000000001,2018-10-16 13:54:00
109,9,56.26,2018-10-16 14:00:00
110,13,62.4,2018-10-16 14:01:00
111,52,75.52,2018-10-16 14:03:00
112,24,90.3,2018-10-16 14:11:00
113,52,75.52,2018-10-16 14:22:00
114,41,84.9,2018-10-16 14:24:00
115,24,90.3,2018-10-16 14:26:00
116,50,39.63,2018-10-16 14:35:00
117,29,67.14,2018-10-16 15:21:00
118,52,75.52,2018-10-16 15:22:00
119,12,34.05,2018-10-16 15:35:00
120,59,76.18,2018-10-16 15:49:00
121,8,81.42,2018-10-16 15:54:00
122,55,53.52,2018-10-16 15:58:00
123,63,52.92,2018-10-16 16:01:00
124,5,89.7,2018-10-16 16:09:00
125,52,75.52,2018-10-16 16:24:00
126,52,75.52,2018-10-16 16:26:00
127,13,46.8,2018-10-16 16:41:00
128,66,48.64,2018-10-16 16:41:00
129,66,48.64,2018-10-16 17:04:00
130,15,69.06,2018-10-16 17:28:00
131,50,52.84,2018-10-16 17:41:00
132,48,62.4,2018-10-16 17:45:00
133,15,69.06,2018-10-16 17:57:00
134,11,63.2,2018-10-16 18:44:00
135,14,67.42,2018-10-16 20:11:00
136,58,88.04,2018-10-17 10:39:00
137,58,88.04,2018-10-17 11:13:00
138,37,80.86,2018-10-17 11:43:00
139,41,63.675,2018-10-17 12:44:00
140,27,64.3,2018-10-17 12:50:00
141,65,92.02,2018-10-17 13:19:00
142,12,34.05,2018-10-17 13:37:00
143,41,84.9,2018-10-17 13:58:00
144,34,73.8,2018-10-17 14:17:00
145,1,48.36,2018-10-17 14:20:00
146,14,67.42,2018-10-17 14:50:00
147,58,88.04,2018-10-17 14:54:00
148,16,84.6,2018-10-17 14:55:00
149,14,67.42,2018-10-17 15:05:00
150,30,84.36,2018-10-17 15:09:00
151,52,75.52,2018-10-17 15:13:00
152,16,84.6,2018-10-17 15:23:00
153,22,82.28,2018-10-17 15:50:00
154,21,71.2,2018-10-17 15:50:00
155,39,60.08,2018-10-17 16:24:00
156,16,63.45,2018-10-17 16:51:00
157,62,37.8,2018-10-17 17:18:00
158,11,63.2,2018-10-17 17:37:00
159,14,67.42,2018-10-17 17:49:00
160,11,63.2,2018-10-17 17:57:00
161,24,90.3,2018-10-17 17:57:00
162,43,57.825,2018-10-17 18:16:00
163,48,62.4,2018-10-18 10:27:00
164,27,64.3,2018-10-18 11:00:00
165,53,76.16,2018-10-18 11:31:00
166,26,57.4,2018-10-18 12:44:00
167,55,53.52,2018-10-18 12:59:00
168,4,65.46,2018-10-18 13:03:00
169,50,39.63,2018-10-18 13:17:00
170,48,46.8,2018-10-18 13:34:00
171,36,71.72,2018-10-18 13:41:00
172,9,56.26,2018-10-18 13:44:00
173,13,62.4,2018-10-18 13:58:00
174,48,62.4,2018-10-18 14:09:00
175,26,57.4,2018-10-18 14:18:00
176,12,45.4,2018-10-18 14:56:00
177,53,57.12,2018-10-18 15:07:00
178,62,50.4,2018-10-18 15:26:00
179,59,57.13500000000001,2018-10-18 15:26:00
180,14,67.42,2018-10-18 15:33:00
181,36,71.72,2018-10-18 15:44:00
182,46,77.5,2018-10-18 15:50:00
183,9,56.26,2018-10-18 16:06:00
184,5,89.7,2018-10-18 16:27:00
185,26,43.05,2018-10-18 16:32:00
186,59,76.18,2018-10-18 16:35:00
187,59,76.18,2018-10-18 16:53:00
188,52,56.64,2018-10-18 16:55:00
